Rafaello  	1	M	bubblegum pink      	Healthy
Ingemar   	1	M	cerulean blue       	Healthy
Victor    	1	M	blue with a hint of purple	Healthy
Junette   	1	F	deep sea blue       	Healthy
Joanna    	1	F	wintergreen         	Healthy
Rafaello  	2	M	bubblegum pink      	Healthy
Ingemar   	2	M	cerulean blue       	Healthy
Victor    	2	M	blue with a hint of purple	Healthy
Junette   	2	F	deep sea blue       	Healthy
Joanna    	2	F	wintergreen         	Healthy
Deloria   	0	F	deep sea blue       	Healthy
Leticia   	0	F	wintergreen         	Healthy
Rafaello  	3	M	bubblegum pink      	Healthy
Ingemar   	3	M	cerulean blue       	Healthy
Victor    	3	M	blue with a hint of purple	Healthy
Junette   	3	F	deep sea blue       	Healthy
Joanna    	3	F	wintergreen         	Healthy
Deloria   	1	F	deep sea blue       	Healthy
Leticia   	1	F	wintergreen         	Healthy
Emlynne   	0	F	deep sea blue       	Healthy
Celka     	0	F	wintergreen         	Healthy
Rafaello  	4	M	bubblegum pink      	Healthy
Ingemar   	4	M	cerulean blue       	Healthy
Victor    	4	M	blue with a hint of purple	Healthy
Junette   	4	F	deep sea blue       	Healthy
Joanna    	4	F	wintergreen         	Healthy
Deloria   	2	F	deep sea blue       	Healthy
Leticia   	2	F	wintergreen         	Healthy
Emlynne   	1	F	deep sea blue       	Healthy
Celka     	1	F	wintergreen         	Healthy
Gaven     	0	M	deep sea blue       	Healthy
Leigh     	0	F	wintergreen         	Healthy
Huntley   	0	M	deep sea blue       	Healthy
Orly      	0	F	wintergreen         	Healthy
Rafaello  	5	M	bubblegum pink      	Healthy
Ingemar   	5	M	cerulean blue       	Healthy
Victor    	5	M	blue with a hint of purple	Healthy
Junette   	5	F	deep sea blue       	Healthy
Joanna    	5	F	wintergreen         	Healthy
Deloria   	3	F	deep sea blue       	Healthy
Leticia   	3	F	wintergreen         	Healthy
Emlynne   	2	F	deep sea blue       	Healthy
Celka     	2	F	wintergreen         	Healthy
Gaven     	1	M	deep sea blue       	Healthy
Leigh     	1	F	wintergreen         	Healthy
Huntley   	1	M	deep sea blue       	Healthy
Orly      	1	F	wintergreen         	Healthy
Tiffani   	0	F	deep sea blue       	Healthy
Orrin     	0	M	wintergreen         	Healthy
Wenona    	0	F	deep sea blue       	Healthy
Bab       	0	F	wintergreen         	Healthy
Hercules  	0	M	deep sea blue       	Healthy
Shell     	0	F	wintergreen         	Healthy
Rafaello  	6	M	bubblegum pink      	Healthy
Ingemar   	6	M	cerulean blue       	Healthy
Victor    	6	M	blue with a hint of purple	Healthy
Junette   	6	F	deep sea blue       	Healthy
Joanna    	6	F	wintergreen         	Healthy
Deloria   	4	F	deep sea blue       	Healthy
Leticia   	4	F	wintergreen         	Healthy
Emlynne   	3	F	deep sea blue       	Healthy
Celka     	3	F	wintergreen         	Healthy
Gaven     	2	M	deep sea blue       	Healthy
Leigh     	2	F	wintergreen         	Healthy
Huntley   	2	M	deep sea blue       	Healthy
Orly      	2	F	wintergreen         	Healthy
Tiffani   	1	F	deep sea blue       	Healthy
Orrin     	1	M	wintergreen         	Healthy
Wenona    	1	F	deep sea blue       	Healthy
Bab       	1	F	wintergreen         	Healthy
Hercules  	1	M	deep sea blue       	Healthy
Shell     	1	F	wintergreen         	Healthy
Grange    	0	M	deep sea blue       	Healthy
Hamish    	0	M	wintergreen         	Healthy
Jordan    	0	F	deep sea blue       	Healthy
Carleen   	0	F	wintergreen         	Healthy
Aubrey    	0	M	deep sea blue       	Healthy
Niven     	0	M	wintergreen         	Healthy
Rosemaria 	0	F	wintergreen         	Healthy
Aluin     	0	M	wintergreen         	Healthy
